date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
2021-02-04,GA,14756,13048,169,1708,51247,51247,4239,294,8511,,,0,,,,,,928070,763077,5706,0,62937,,,,733538,,,0,6561635,37412,449321,,,,,0,6561635,37412
2021-02-03,GA,14587,12907,137,1680,50953,50953,4335,268,8471,,,0,,,,,,922364,759228,4924,0,62078,,,,729320,,,0,6524223,30175,447290,,,,,0,6524223,30175
2021-02-02,GA,14450,12772,208,1678,50685,50685,4335,362,8439,,,0,,,,,,917440,755412,4961,0,61862,,,,725757,,,0,6494048,19915,446775,,,,,0,6494048,19915
2021-02-01,GA,14242,12613,44,1629,50323,50323,4438,86,8400,,,0,,,,,,912479,752448,3034,0,61724,,,,723022,,,0,6474133,21387,446424,,,,,0,6474133,21387
2021-01-31,GA,14198,12570,2,1628,50237,50237,4476,105,8399,,,0,,,,,,909445,749867,3587,0,61213,,,,719935,,,0,6452746,27704,445208,,,,,0,6452746,27704
2021-01-30,GA,14196,12568,210,1628,50132,50132,4574,263,8390,,,0,,,,,,905858,746867,6343,0,60474,,,,716476,,,0,6425042,46500,443440,,,,,0,6425042,46500
2021-01-29,GA,13986,12410,159,1576,49869,49869,4777,261,8360,,,0,,,,,,899515,741991,6558,0,59736,,,,710996,,,0,6378542,40314,441761,,,,,0,6378542,40314
2021-01-28,GA,13827,12280,184,1547,49608,49608,4953,361,8331,,,0,,,,,,892957,737205,7352,0,58885,,,,705770,,,0,6338228,42184,439649,,,,,0,6338228,42184
2021-01-27,GA,13643,12135,161,1508,49247,49247,5074,332,8290,,,0,,,,,,885605,731826,6384,0,58216,,,,700011,,,0,6296044,24499,437886,,,,,0,6296044,24499
2021-01-26,GA,13482,11996,179,1486,48915,48915,5157,417,8248,,,0,,,,,,879221,727752,8393,0,57994,,,,696183,,,0,6271545,36649,437302,,,,,0,6271545,36649
2021-01-25,GA,13303,11854,53,1449,48498,48498,5231,113,8203,,,0,,,,,,870828,722062,3917,0,57763,,,,690288,,,0,6234896,26036,436787,,,,,0,6234896,26036
2021-01-24,GA,13250,11801,4,1449,48385,48385,5293,115,8199,,,0,,,,,,866911,718532,4753,0,57197,,,,686333,,,0,6208860,34390,435326,,,,,0,6208860,34390
2021-01-23,GA,13246,11798,186,1448,48270,48270,5370,320,8183,,,0,,,,,,862158,714322,8985,0,56552,,,,681424,,,0,6174470,52404,433621,,,,,0,6174470,52404
2021-01-22,GA,13060,11670,171,1390,47950,47950,5559,270,8136,,,0,,,,,,853173,707750,8374,0,55755,,,,673983,,,0,6122066,49452,431565,,,,,0,6122066,49452
2021-01-21,GA,12889,11511,111,1378,47680,47680,5747,369,8092,,,0,,,,,,844799,701308,8150,0,54947,,,,667088,,,0,6072614,39417,429419,,,,,0,6072614,39417
2021-01-20,GA,12778,11411,196,1367,47311,47311,5783,305,8041,,,0,,,,,,836649,695400,8205,0,54174,,,,661138,,,0,6033197,44460,427488,,,,,0,6033197,44460
2021-01-19,GA,12582,11265,222,1317,47006,47006,5905,265,8004,,,0,,,,,,828444,689676,7492,0,53977,,,,655190,,,0,5988737,31431,426980,,,,,0,5988737,31431
2021-01-18,GA,12360,11095,64,1265,46741,46741,5902,122,7964,,,0,,,,,,820952,684763,4957,0,53759,,,,649691,,,0,5957306,31865,426349,,,,,0,5957306,31865
2021-01-17,GA,12296,11032,5,1264,46619,46619,5835,104,7957,,,0,,,,,,815995,680378,6332,0,53314,,,,644603,,,0,5925441,37741,425142,,,,,0,5925441,37741
2021-01-16,GA,12291,11029,153,1262,46515,46515,5910,307,7954,,,0,,,,,,809663,674994,8533,0,52635,,,,638495,,,0,5887700,43679,423166,,,,,0,5887700,43679
2021-01-15,GA,12138,10878,163,1260,46208,46208,5967,315,7919,,,0,,,,,,801130,668068,9806,0,51947,,,,631627,,,0,5844021,43014,421324,,,,,0,5844021,43014
2021-01-14,GA,11975,10721,172,1254,45893,45893,5968,360,7869,,,0,,,,,,791324,660720,9036,0,51320,,,,624405,,,0,5801007,37033,419581,,,,,0,5801007,37033
2021-01-13,GA,11803,10580,141,1223,45533,45533,6108,356,7837,,,0,,,,,,782288,654356,8596,0,50661,,,,618324,,,0,5763974,26112,417679,,,,,0,5763974,26112
2021-01-12,GA,11662,10444,187,1218,45177,45177,6097,435,7799,,,0,,,,,,773692,648694,9193,0,50103,,,,613704,,,0,5737862,29802,416089,,,,,0,5737862,29802
2021-01-11,GA,11475,10299,17,1176,44742,44742,6064,107,7744,,,0,,,,,,764499,642712,7454,0,49883,,,,607912,,,0,5708060,35770,415543,,,,,0,5708060,35770
2021-01-10,GA,11458,10282,1,1176,44635,44635,5993,125,7742,,,0,,,,,,757045,636373,8193,0,49201,,,,601352,,,0,5672290,39819,413263,,,,,0,5672290,39819
2021-01-09,GA,11457,10280,143,1177,44510,44510,5892,323,7727,,,0,,,,,,748852,629204,11926,0,48712,,,,593881,,,0,5632471,48477,411942,,,,,0,5632471,48477
2021-01-08,GA,11314,10180,84,1134,44187,44187,5899,391,7690,,,0,,,,,,736926,620247,13296,0,48195,,,,585062,,,0,5583994,14381,410456,,,,,0,5583994,14381
2021-01-07,GA,11230,10100,65,1130,43796,43796,5751,167,7642,,,0,,,,,,723630,609868,9790,0,48102,,,,581928,,,0,5569613,46392,410091,,,,,0,5569613,46392
2021-01-06,GA,11165,10035,93,1130,43629,43629,5782,611,7605,,,0,,,,,,713840,602796,7686,0,47855,,,,574307,,,0,5523221,13341,409076,,,,,0,5523221,13341
2021-01-05,GA,11072,9966,101,1106,43018,43018,5642,423,7535,,,0,,,,,,706154,597208,10091,0,47497,,,,571561,,,0,5509880,27090,408030,,,,,0,5509880,27090
2021-01-04,GA,10971,9900,7,1071,42595,42595,5514,112,7471,,,0,,,,,,696063,591106,5163,0,47231,,,,566075,,,0,5482790,20549,407192,,,,,0,5482790,20549
2021-01-03,GA,10964,9893,4,1071,42483,42483,5304,56,7466,,,0,,,,,,690900,587076,5778,0,47080,,,,561892,,,0,5462241,25253,406672,,,,,0,5462241,25253
2021-01-02,GA,10960,9891,2,1069,42427,42427,5101,65,7457,,,0,,,,,,685122,581999,7533,0,46987,,,,556630,,,0,5436988,35934,406396,,,,,0,5436988,35934
2021-01-01,GA,10958,9889,24,1069,42362,42362,4890,278,7448,,,0,,,,,,677589,575395,11137,0,46536,,,,549842,,,0,5401054,51664,404968,,,,,0,5401054,51664
2020-12-31,GA,10934,9872,88,1062,42084,42084,4937,306,7417,,,0,,,,,,666452,566676,11709,0,46052,,,,540689,,,0,5349390,44597,403179,,,,,0,5349390,44597
2020-12-30,GA,10846,9808,67,1038,41778,41778,4926,375,7375,,,0,,,,,,654743,558177,9053,0,45463,,,,531566,,,0,5304793,23511,401264,,,,,0,5304793,23511
2020-12-29,GA,10779,9759,83,1020,41403,41403,4839,451,7322,,,0,,,,,,645690,552712,9450,0,45356,,,,526895,,,0,5281282,32689,400939,,,,,0,5281282,32689
2020-12-28,GA,10696,9719,7,977,40952,40952,4729,165,7247,,,0,,,,,,636240,546859,3941,0,45163,,,,520787,,,0,5248593,15065,400465,,,,,0,5248593,15065
2020-12-27,GA,10689,9714,4,975,40787,40787,4499,139,7236,,,0,,,,,,632299,543707,3511,0,44953,,,,517672,,,0,5233528,15054,399649,,,,,0,5233528,15054
2020-12-26,GA,10685,9710,54,975,40648,40648,4325,18,7224,,,0,,,,,,628788,540758,4158,0,44752,,,,514953,,,0,5218474,29639,399032,,,,,0,5218474,29639
2020-12-25,GA,10631,9656,49,975,40630,40630,4216,91,7224,,,0,,,,,,624630,537079,6054,0,44423,,,,510539,,,0,5188835,53529,397795,,,,,0,5188835,53529
2020-12-24,GA,10582,9607,63,975,40539,40539,4240,400,7217,,,0,,,,,,618576,531954,10286,0,44099,,,,503859,,,0,5135306,49170,396503,,,,,0,5135306,49170
2020-12-23,GA,10519,9554,56,965,40139,40139,4157,303,7148,,,0,,,,,,608290,524055,7773,0,43568,,,,496830,,,0,5086136,36781,394629,,,,,0,5086136,36781
2020-12-22,GA,10463,9503,64,960,39836,39836,4137,334,7103,,,0,,,,,,600517,518902,9079,0,42937,,,,491226,,,0,5049355,50049,392358,,,,,0,5049355,50049
2020-12-21,GA,10399,9453,16,946,39502,39502,3960,90,7055,,,0,,,,,,591438,512699,3520,0,42906,,,,484372,,,0,4999306,25142,392210,,,,,0,4999306,25142
2020-12-20,GA,10383,9437,2,946,39412,39412,3787,102,7050,,,0,,,,,,587918,509588,5618,0,42758,,,,480704,,,0,4974164,33115,391653,,,,,0,4974164,33115
2020-12-19,GA,10381,9435,49,946,39310,39310,3679,246,7045,,,0,,,,,,582300,504501,5763,0,42102,,,,476179,,,0,4941049,37003,388995,,,,,0,4941049,37003
2020-12-18,GA,10332,9396,38,936,39064,39064,3691,346,7009,,,0,,,,,,576537,500265,8141,0,41588,,,,471410,,,0,4904046,47876,387135,,,,,0,4904046,47876
2020-12-17,GA,10294,9358,66,936,38718,38718,3616,300,6967,,,0,,,,,,568396,494173,7777,0,41051,,,,465049,,,0,4856170,38262,385298,,,,,0,4856170,38262
2020-12-16,GA,10228,9302,68,926,38418,38418,3564,307,6936,,,0,,,,,,560619,488338,6624,0,40546,,,,459748,,,0,4817908,23433,383471,,,,,0,4817908,23433
2020-12-15,GA,10160,9250,56,910,38111,38111,3352,374,6896,,,0,,,,,,553995,484152,7437,0,40399,,,,456367,,,0,4794475,38945,382784,,,,,0,4794475,38945
2020-12-14,GA,10104,9218,28,886,37737,37737,3338,100,6859,,,0,,,,,,546558,479340,3720,0,40214,,,,451146,,,0,4755530,25996,381949,,,,,0,4755530,25996
2020-12-13,GA,10076,9205,1,871,37637,37637,3237,87,6854,,,0,,,,,,542838,476044,4798,0,39964,,,,447465,,,0,4729534,32827,380934,,,,,0,4729534,32827
2020-12-12,GA,10075,9204,44,871,37550,37550,3170,229,6847,,,0,,,,,,538040,471734,6447,0,39423,,,,442957,,,0,4696707,39508,378891,,,,,0,4696707,39508
2020-12-11,GA,10031,9175,56,856,37321,37321,3199,304,6832,,,0,,,,,,531593,466904,6191,0,38931,,,,438301,,,0,4657199,35358,377015,,,,,0,4657199,35358
2020-12-10,GA,9975,9123,54,852,37017,37017,3088,277,6790,,,0,,,,,,525402,462175,7623,0,38451,,,,434079,,,0,4621841,43717,375182,,,,,0,4621841,43717
2020-12-09,GA,9921,9073,48,848,36740,36740,3066,279,6756,,,0,,,,,,517779,456113,5512,0,38123,,,,427970,,,0,4578124,22681,373866,,,,,0,4578124,22681
2020-12-08,GA,9873,9027,22,846,36461,36461,3013,191,6719,,,0,,,,,,512267,452369,5577,0,37643,,,,425006,,,0,4555443,34383,371988,,,,,0,4555443,34383
2020-12-07,GA,9851,9007,45,844,36270,36270,2923,231,6691,,,0,,,,,,506690,448683,5285,0,37495,,,,420948,,,0,4521060,45008,371077,,,,,0,4521060,45008
2020-12-06,GA,9806,8971,13,835,36039,36039,2829,38,6676,,,0,,,,,,501405,443822,2034,0,37176,,,,415077,,,0,4476052,9852,369773,,,,,0,4476052,9852
2020-12-05,GA,9793,8969,68,824,36001,36001,2753,218,6671,,,0,,,,,,499371,442017,5017,0,37137,,,,413978,,,0,4466200,31180,369581,,,,,0,4466200,31180
2020-12-04,GA,9725,8922,77,803,35783,35783,2749,212,6642,,,0,,,,,,494354,438300,6376,0,36979,,,,410848,,,0,4435020,38355,368962,,,,,0,4435020,38355
2020-12-03,GA,9648,8879,81,769,35571,35571,2691,245,6599,,,0,,,,,,487978,433353,5839,0,36562,,,,406225,,,0,4396665,33701,367023,,,,,0,4396665,33701
2020-12-02,GA,9567,8830,52,737,35326,35326,2644,263,6569,,,0,,,,,,482139,428980,5734,0,36263,,,,402092,,,0,4362964,23997,365326,,,,,0,4362964,23997
2020-12-01,GA,9515,8798,63,717,35063,35063,2634,239,6536,,,0,,,,,,476405,424929,4842,0,36148,,,,398641,,,0,4338967,24519,364644,,,,,0,4338967,24519
2020-11-30,GA,9452,8778,10,674,34824,34824,2574,42,6497,,,0,,,,,,471563,422133,2047,0,35894,,,,395848,,,0,4314448,11521,363107,,,,,0,4314448,11521
2020-11-29,GA,9442,8778,18,664,34782,34782,2493,58,6493,,,0,,,,,,469516,420601,1952,0,35871,,,,394478,,,0,4302927,13903,362982,,,,,0,4302927,13903
2020-11-28,GA,9424,8775,44,649,34724,34724,2370,119,6485,,,0,,,,,,467564,418936,3038,0,35775,,,,392875,,,0,4289024,30611,362341,,,,,0,4289024,30611
2020-11-27,GA,9380,8746,44,634,34605,34605,2295,18,6464,,,0,,,,,,464526,416303,3009,0,35569,,,,390028,,,0,4258413,31722,361442,,,,,0,4258413,31722
2020-11-26,GA,9336,8716,39,620,34587,34587,2247,174,6463,,,0,,,,,,461517,413909,3608,0,35236,,,,387383,,,0,4226691,30762,359818,,,,,0,4226691,30762
2020-11-25,GA,9297,8694,76,603,34413,34413,2286,145,6434,,,0,,,,,,457909,411002,3177,0,35037,,,,384916,,,0,4195929,21986,358749,,,,,0,4195929,21986
2020-11-24,GA,9221,8648,6,573,34268,34268,2298,185,6414,,,0,,,,,,454732,408644,3676,0,34856,,,,383062,,,0,4173943,34434,357704,,,,,0,4173943,34434
2020-11-23,GA,9215,8644,17,571,34083,34083,2257,26,6377,,,0,,,,,,451056,406220,1924,0,34740,,,,380636,,,0,4139509,26729,357156,,,,,0,4139509,26729
2020-11-22,GA,9198,8627,19,571,34057,34057,2193,34,6373,,,0,,,,,,449132,404411,2328,0,34527,,,,378620,,,0,4112780,26638,356199,,,,,0,4112780,26638
2020-11-21,GA,9179,8624,37,555,34023,34023,2136,126,6366,,,0,,,,,,446804,402435,6209,0,34191,,,,376594,,,0,4086142,43016,354407,,,,,0,4086142,43016
2020-11-20,GA,9142,8591,40,551,33897,33897,2139,119,6340,,,0,,,,,,440595,399410,3439,0,33719,,,,373623,,,0,4043126,32450,351953,,,,,0,4043126,32450
2020-11-19,GA,9102,8569,37,533,33778,33778,2142,111,6327,,,0,,,,,,437156,396641,3514,0,33421,,,,371101,,,0,4010676,35607,350070,,,,,0,4010676,35607
2020-11-18,GA,9065,8536,57,529,33667,33667,2091,228,6306,,,0,,,,,,433642,393980,3071,0,33136,,,,368548,,,0,3975069,20647,348580,,,,,0,3975069,20647
2020-11-17,GA,9008,8496,41,512,33439,33439,2102,174,6259,,,0,,,,,,430571,391466,4335,0,33020,,,,366489,,,0,3954422,53714,347926,,,,,0,3954422,53714
2020-11-16,GA,8967,8471,10,496,33265,33265,2070,24,6229,,,0,,,,,,426236,387930,1247,0,32804,,,,362565,,,0,3900708,13422,346476,,,,,0,3900708,13422
2020-11-15,GA,8957,8462,1,495,33241,33241,1978,25,6225,,,0,,,,,,424989,386949,2084,0,32669,,,,361610,,,0,3887286,21347,345943,,,,,0,3887286,21347
2020-11-14,GA,8956,8462,51,494,33216,33216,2050,127,6220,,,0,,,,,,422905,384997,3035,0,32485,,,,359580,,,0,3865939,27389,344853,,,,,0,3865939,27389
2020-11-13,GA,8905,8418,24,487,33089,33089,2037,142,6211,,,0,,,,,,419870,382505,2994,0,32185,,,,357467,,,0,3838550,31137,343337,,,,,0,3838550,31137
2020-11-12,GA,8881,8403,75,478,32947,32947,2045,141,6191,,,0,,,,,,416876,380190,2982,0,31909,,,,355154,,,0,3807413,21367,341681,,,,,0,3807413,21367
2020-11-11,GA,8806,8333,76,473,32806,32806,2002,175,6171,,,0,,,,,,413894,377694,2242,0,31711,,,,353053,,,0,3786046,13522,340578,,,,,0,3786046,13522
2020-11-10,GA,8730,8264,53,466,32631,32631,1938,148,6138,,,0,,,,,,411652,376054,4319,0,31536,,,,351881,,,0,3772524,22630,339698,,,,,0,3772524,22630
2020-11-09,GA,8677,8223,29,454,32483,32483,1916,15,6097,,,0,,,,,,407333,374181,1272,0,31406,,,,350067,,,0,3749894,15934,339014,,,,,0,3749894,15934
2020-11-08,GA,8648,8194,1,454,32468,32468,1846,33,6095,,,0,,,,,,406061,373078,1439,0,31257,,,,348836,,,0,3733960,18690,338346,,,,,0,3733960,18690
2020-11-07,GA,8647,8193,39,454,32435,32435,1859,118,6091,,,0,,,,,,404622,371825,2195,0,31027,,,,347574,,,0,3715270,23537,337230,,,,,0,3715270,23537
2020-11-06,GA,8608,8156,30,452,32317,32317,1848,100,6075,,,0,,,,,,402427,370106,2802,0,30818,,,,346096,,,0,3691733,19573,336077,,,,,0,3691733,19573
2020-11-05,GA,8578,8126,56,452,32217,32217,1780,175,6058,,,0,,,,,,399625,368368,2344,0,30621,,,,344574,,,0,3672160,24882,334992,,,,,0,3672160,24882
2020-11-04,GA,8522,8072,43,450,32042,32042,1782,149,6031,,,0,,,,,,397281,366452,2755,0,30453,,,,342706,,,0,3647278,28448,334128,,,,,0,3647278,28448
2020-11-03,GA,8479,8029,480,450,31893,31893,1761,158,5997,,,0,,,,,,394526,364589,31605,0,30316,,,,341068,,,0,3618830,22130,333439,,,,,0,3618830,22130
2020-11-02,GA,7999,,18,,31735,31735,1751,15,5963,,,0,,,,,,362921,362921,939,0,30206,,,,339565,,,0,3596700,12589,332921,,,,,0,3596700,12589
2020-11-01,GA,7981,,2,,31720,31720,1720,21,5961,,,0,,,,,,361982,361982,1192,0,30146,,,,338511,,,0,3584111,21429,332581,,,,,0,3584111,21429
2020-10-31,GA,7979,,24,,31699,31699,1725,93,5957,,,0,,,,,,360790,360790,2565,0,29995,,,,337078,,,0,3562682,26857,331821,,,,,0,3562682,26857
2020-10-30,GA,7955,,32,,31606,31606,1701,90,5940,,,0,,,,,,358225,358225,1377,0,29713,,,,334743,,,0,3535825,19663,330193,,,,,0,3535825,19663
2020-10-29,GA,7923,,47,,31516,31516,1777,146,5927,,,0,,,,,,356848,356848,1823,0,29569,,,,333316,,,0,3516162,20755,329039,,,,,0,3516162,20755
2020-10-28,GA,7876,,32,,31370,31370,1779,114,5888,,,0,,,,,,355025,355025,1653,0,29355,,,,331771,,,0,3495407,20516,327806,,,,,0,3495407,20516
2020-10-27,GA,7844,,17,,31256,31256,1823,169,5859,,,0,,,,,,353372,353372,1491,0,29271,,,,330641,,,0,3474891,13503,327268,,,,,0,3474891,13503
2020-10-26,GA,7827,,18,,31087,31087,1740,19,5829,,,0,,,,,,351881,351881,958,0,29146,,,,329506,,,0,3461388,16356,326408,,,,,0,3461388,16356
2020-10-25,GA,7809,,1,,31068,31068,1668,22,5825,,,0,,,,,,350923,350923,1318,0,29049,,,,328321,,,0,3445032,18922,325899,,,,,0,3445032,18922
2020-10-24,GA,7808,,42,,31046,31046,1684,97,5822,,,0,,,,,,349605,349605,1846,0,28865,,,,326890,,,0,3426110,18487,324963,,,,,0,3426110,18487
2020-10-23,GA,7766,,37,,30949,30949,1741,120,5801,,,0,,,,,,347759,347759,2224,0,28706,,,,325642,,,0,3407623,40089,323918,,,,,0,3407623,40089
2020-10-22,GA,7729,,25,,30829,30829,1699,153,5774,,,0,,,,,,345535,345535,1785,0,28346,,,,323551,,,0,3367534,29219,321823,,,,,0,3367534,29219
2020-10-21,GA,7704,,30,,30676,30676,1736,135,5734,,,0,,,,,,343750,343750,1312,0,28101,,,,321274,,,0,3338315,10479,320491,,,,,0,3338315,10479
2020-10-20,GA,7674,,17,,30541,30541,1713,153,5701,,,0,,,,,,342438,342438,1128,0,28073,,,,320414,,,0,3327836,13557,320265,,,,,0,3327836,13557
2020-10-19,GA,7657,,19,,30388,30388,1664,12,5665,,,0,,,,,,341310,341310,752,0,27990,,,,319431,,,0,3314279,15821,319648,,,,,0,3314279,15821
2020-10-18,GA,7638,,31,,30376,30376,1654,26,5663,,,0,,,,,,340558,340558,1174,0,27884,,,,318366,,,0,3298458,17790,319165,,,,,0,3298458,17790
2020-10-17,GA,7607,,51,,30350,30350,1622,133,5654,,,0,,,,,,339384,339384,1534,0,27746,,,,317180,,,0,3280668,26398,318261,,,,,0,3280668,26398
2020-10-16,GA,7556,,64,,30217,30217,1668,136,5614,,,0,,,,,,337850,337850,1609,0,27535,,,,315665,,,0,3254270,24489,317061,,,,,0,3254270,24489
2020-10-15,GA,7492,,22,,30081,30081,1682,163,5580,,,0,,,,,,336241,336241,1640,0,27277,,,,314154,,,0,3229781,25483,315202,,,,,0,3229781,25483
2020-10-14,GA,7470,,16,,29918,29918,1705,156,5546,,,0,,,,,,334601,334601,1297,0,27039,,,,312932,,,0,3204298,23760,313858,,,,,0,3204298,23760
